timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,ext_fl_acc(0),ext_fl_acc(1),ext_fl_acc(2)
1695201699536995200,0.605726,-1.80642,-0.0582529,0.00584471,0.000493768,-0.000340402,0.00760285,0.00112708,0.00301097,0.720764,0.00500782,-0.00424547,-0.693149,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.0117262,0.000990647,-0.000682948
1695201699544743296,0.605876,-1.80648,-0.0584211,0.00249965,0.000548232,-0.000451679,0.00167507,-0.0331569,-0.00345111,0.720768,0.00478857,-0.00428116,-0.693147,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.0119973,0.00108504,-0.0215624
1695201699551731008,0.605876,-1.80648,-0.0584211,0.00249965,0.000548232,-0.000451679,0.00167507,-0.0331569,-0.00345111,0.720768,0.00478857,-0.00428116,-0.693147,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.0119573,0.00115424,-0.0423698
1695201699559826976,0.605876,-1.80648,-0.0584211,0.00249965,0.000548232,-0.000451679,0.00167507,-0.0331569,-0.00345111,0.720768,0.00478857,-0.00428116,-0.693147,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.0115924,0.00119694,-0.0631069
1695201699569733024,0.605876,-1.80648,-0.0584211,0.00249965,0.000548232,-0.000451679,0.00167507,-0.0331569,-0.00345111,0.720768,0.00478857,-0.00428116,-0.693147,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.0108893,0.00121188,-0.0837739
1695201699579782880,0.605876,-1.80648,-0.0584211,0.00249965,0.000548232,-0.000451679,0.00167507,-0.0331569,-0.00345111,0.720768,0.00478857,-0.00428116,-0.693147,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.00983519,0.00119778,-0.10437
1695201699589758080,0.606071,-1.80655,-0.0587262,0.00291814,0.00109793,0.000873982,-0.00985259,-0.00743087,-0.00127891,0.720856,0.00480175,-0.00423179,-0.693055,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.00851577,0.0013162,-0.124885
1695201699599784352,0.606071,-1.80655,-0.0587262,0.00291814,0.00109793,0.000873982,-0.00985259,-0.00743087,-0.00127891,0.720856,0.00480175,-0.00423179,-0.693055,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.00681386,0.00139545,-0.145326
1695201699609641728,0.606071,-1.80655,-0.0587262,0.00291814,0.00109793,0.000873982,-0.00985259,-0.00743087,-0.00127891,0.720856,0.00480175,-0.00423179,-0.693055,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.00471666,0.00143367,-0.165687
1695201699620119744,0.606071,-1.80655,-0.0587262,0.00291814,0.00109793,0.000873982,-0.00985259,-0.00743087,-0.00127891,0.720856,0.00480175,-0.00423179,-0.693055,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,0.00221523,0.00142895,-0.185963
1695201699629522400,0.606071,-1.80655,-0.0587262,0.00291814,0.00109793,0.000873982,-0.00985259,-0.00743087,-0.00127891,0.720856,0.00480175,-0.00423179,-0.693055,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.00069687,0.00137951,-0.206149
1695201699639014944,0.606187,-1.80662,-0.0588975,0.0102833,-0.00261531,-0.000658641,0.00325811,0.00159905,0.004057,0.72085,0.00490229,-0.00421297,-0.693061,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.000928343,-0.000240078,-0.226454
1695201699648940864,0.60621,-1.80664,-0.0589389,0.00795058,-0.00349979,-0.00315163,0.00325811,0.00159905,0.004057,0.72085,0.00490229,-0.00421297,-0.693061,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.00262159,-0.00214402,-0.246657
1695201699659017376,0.60621,-1.80664,-0.0589389,0.00795058,-0.00349979,-0.00315163,0.00325811,0.00159905,0.004057,0.72085,0.00490229,-0.00421297,-0.693061,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0047863,-0.00402308,-0.266788
1695201699670416352,0.606227,-1.80665,-0.0589805,0.00507188,-0.00323599,-0.00382507,-0.0182544,0.00451174,-0.0069331,0.720874,0.00484257,-0.00411909,-0.693037,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.00868484,-0.00568853,-0.28666
1695201699680509696,0.606227,-1.80665,-0.0589805,0.00507188,-0.00323599,-0.00382507,-0.0182544,0.00451174,-0.0069331,0.720874,0.00484257,-0.00411909,-0.693037,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0129459,-0.00730777,-0.306438
1695201699688972960,0.606227,-1.80665,-0.0589805,0.00507188,-0.00323599,-0.00382507,-0.0182544,0.00451174,-0.0069331,0.720874,0.00484257,-0.00411909,-0.693037,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0175432,-0.00886895,-0.326125
1695201699698887296,0.606227,-1.80665,-0.0589805,0.00507188,-0.00323599,-0.00382507,-0.0182544,0.00451174,-0.0069331,0.720874,0.00484257,-0.00411909,-0.693037,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.022453,-0.010363,-0.345721
1695201699708930592,0.606042,-1.80663,-0.0596866,-0.00672354,0.00979698,-0.0404996,-0.0762514,0.0700181,0.00535079,0.720848,0.00454175,-0.00330434,-0.693071,0.605859,-1.80578,-0.0478205,0,0,0,0,0,0,-0.0282278,-0.00737642,-0.36527
