timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1258070761792,-0.0210425,0.000650007,0.0103143,-0.0060465,-0.0130515,0.00101346,0.247327,0.245808,-0.0595521,0.990785,0.129212,0.0403012,-0.00496191,-0.0211758,0.00061588,0.209705,-0.00019994,-5.11908e-05,0.398781,0,0,0,1.39066e-309,4.94066e-324,1.39066e-309,1
1258090066976,-0.0211111,0.000473219,0.0103411,-0.00297431,-0.0101757,0.00251153,0.156311,0.132024,0.256375,0.990812,0.129019,0.040262,-0.0049234,-0.0211758,0.00061588,0.209705,-9.69506e-05,0.000213991,0.398728,0,0,0,0,0,0,1
1258110009664,-0.0213107,0.000280247,0.0102054,-0.0152314,-0.00476926,-0.0159974,-0.341842,0.604576,-0.479098,0.990868,0.128649,0.0400955,-0.00469216,-0.0211758,0.00061588,0.209705,0.000202358,0.000503449,0.398999,0,0,0,8.76013e-06,3.16315e-05,0.00241256,1
1258129995872,-0.0215479,0.000267915,0.00997247,-0.0245865,0.00269961,-0.0230993,-1.22817,0.648881,-0.712776,0.990867,0.128589,0.0402736,-0.00499526,-0.0211758,0.00061588,0.209705,0.000558247,0.000521947,0.399465,0,0,0,8.20133e-05,5.66574e-05,0.00635197,1
1258150008832,-0.0213918,0.00187068,0.00893754,-0.0369459,0.0246421,-0.0441877,2.74047,-2.34692,-1.05976,0.990712,0.129366,0.0413125,-0.00709435,-0.0211758,0.00061588,0.209705,0.000324072,-0.0018822,0.401535,0,0,0,0.000141945,5.1467e-05,0.00836629,1
1258169992416,-0.0218667,0.00211549,0.00738865,-0.0116237,0.00366503,-0.0789404,-0.338815,0.321392,0.566986,0.990653,0.129482,0.0421651,-0.0081554,-0.0211758,0.00061588,0.209705,0.00103638,-0.00224941,0.404632,0,0,0,0.000320787,-7.58116e-05,0.0126439,1
1258190002240,-0.0220737,0.00216051,0.0062427,-0.015748,0.00228907,-0.0726033,-0.2066,-0.503353,0.271052,0.990748,0.128827,0.0418948,-0.0084086,-0.0211758,0.00061588,0.209705,0.00134685,-0.00231695,0.406924,0,0,0,0.000382043,-0.000104429,0.0173235,1
1258209995104,-0.0225548,0.00217809,0.00448333,-0.0266991,0.00150899,-0.0783122,-0.86611,0.277155,-0.692957,0.990908,0.127956,0.0406667,-0.0089221,-0.0211758,0.00061588,0.209705,0.00206856,-0.00234332,0.410443,0,0,0,0.00043375,-0.000118361,0.0202244,1
1258230010496,-0.0208786,0.00448841,0.00391956,-0.0243652,0.0217142,-0.0839831,-0.391355,0.374079,-0.694357,0.990844,0.128091,0.0419488,-0.00814487,-0.0211758,0.00061588,0.209705,-0.000445771,-0.0058088,0.411571,0,0,0,0.000570495,-0.000136672,0.0248709,1
1258250022368,-0.0216319,0.00512499,0.00173011,-0.0362336,0.0302846,-0.0965523,0.227543,0.112139,-0.354218,0.99096,0.127545,0.0408163,-0.00834948,-0.0211758,0.00061588,0.209705,0.000684124,-0.00676367,0.41595,0,0,0,0.000627587,-0.000202366,0.0272365,1
